DATA;DIA_DA_SEMANA;FERIADO;TIPO_FERIADO;DETALHES
2015-04-12;Domingo;International Day of Human Space Flight;United Nations observance;
2015-04-13;Segunda-feira;Orthodox Easter Monday;Orthodox;
2015-04-13;Segunda-feira;Thomas Jefferson's Birthday;Observance;
2015-04-14;Terça-feira;National Library Workers' Day;Observance;
2015-04-15;Quarta-feira;Yom HaShoah;Jewish commemoration;
2015-04-15;Quarta-feira;Tax Day;Observance;
2015-04-17;Sexta-feira;Global Youth Service Day;Worldwide observance de 2015;
2015-04-18;Sábado;International Day for Monuments and Sites;Worldwide observance de 2015;
2015-04-20;Segunda-feira;Chinese Language Day;United Nations observance;
2015-04-20;Segunda-feira;Boston Marathon;Sporting event;
2015-04-22;Quarta-feira;Earth Day;United Nations observance;
2015-04-22;Quarta-feira;Administrative Professionals Day;Observance;
2015-04-23;Quinta-feira;Yom Ha'atzmaut;Jewish holiday;
2015-04-23;Quinta-feira;World Book and Copyright Day;United Nations observance;
2015-04-23;Quinta-feira;International Girls in ICT Day;United Nations observance;
2015-04-23;Quinta-feira;English Language Day;United Nations observance;
2015-04-23;Quinta-feira;Take our Daughters and Sons to Work Day;Observance;
2015-04-25;Sábado;World Malaria Day;United Nations observance;
2015-04-26;Domingo;World Intellectual Property Day;United Nations observance;
2015-04-28;Terça-feira;World Day for Safety and Health at Work;United Nations observance;
2015-04-29;Quarta-feira;Day of Remembrance for all Victims of Chemical Warfare;United Nations observance;
2015-04-30;Quinta-feira;International Jazz Day;United Nations observance;
2015-05-01;Sexta-feira;Kentucky Oaks;Sporting event;
2015-05-01;Sexta-feira;Law Day;Observance;
2015-05-01;Sexta-feira;Loyalty Day;Observance;
2015-05-01;Sexta-feira;First Day of Military Appreciation Month;Annual Monthly Observance;
2015-05-01;Sexta-feira;First Day of Asian Pacific American Heritage Month;Annual Monthly Observance;
2015-05-01;Sexta-feira;First Day of Jewish American Heritage Month;Annual Monthly Observance;
2015-05-02;Sábado;Kentucky Derby;Sporting event;
2015-05-02;Sábado;National Explosive Ordnance Disposal (EOD) Day;Observance;
2015-05-03;Domingo;World Press Freedom Day;United Nations observance;
2015-05-03;Domingo;International Family Equality Day;Worldwide observance de 2015;
2015-05-05;Terça-feira;Cinco de Mayo de 2015;Observance;
2015-05-05;Terça-feira;National Teacher Appreciation Day;Observance;
2015-05-06;Quarta-feira;National Nurses Day;Observance;
2015-05-07;Quinta-feira;Lag BaOmer;Jewish holiday;
2015-05-07;Quinta-feira;National Day of Prayer;Observance;
2015-05-08;Sexta-feira;Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War;United Nations observance;
2015-05-08;Sexta-feira;World Ovarian Cancer Day;Worldwide observance de 2015;
2015-05-08;Sexta-feira;World Red Cross and Red Crescent Day;Worldwide observance de 2015;
2015-05-08;Sexta-feira;Victory in Europe Day;Observance;
2015-05-08;Sexta-feira;Military Spouse Appreciation Day;Observance;
2015-05-09;Sábado;World Migratory Bird Day;United Nations observance;
2015-05-10;Domingo;Mother's Day;Observance;
2015-05-12;Terça-feira;International Nurses Day;Worldwide observance de 2015;
2015-05-14;Quinta-feira;Ascension Day;Christian;
2015-05-15;Sexta-feira;International Day of Families;United Nations observance;
2015-05-15;Sexta-feira;Peace Officers Memorial Day;Observance;
2015-05-15;Sexta-feira;National Defense Transportation Day;Observance;
2015-05-16;Sábado;Isra and Mi'raj;Muslim;
2015-05-16;Sábado;Armed Forces Day;Observance;
2015-05-16;Sábado;Preakness Stakes;Sporting event;
2015-05-17;Domingo;World Information Society Day;United Nations observance;
2015-05-20;Quarta-feira;World Autoimmune Arthritis Day;Worldwide observance de 2015;
2015-05-20;Quarta-feira;Emergency Medical Services for Children Day;Observance;
2015-05-21;Quinta-feira;World Day for Cultural Diversity for Dialogue and Development;United Nations observance;
2015-05-22;Sexta-feira;International Day for Biological Diversity;United Nations observance;
2015-05-22;Sexta-feira;National Maritime Day;Observance;
2015-05-23;Sábado;International Day to End Obstetric Fistula;United Nations observance;
2015-05-24;Domingo;Pentecost;Christian;
2015-05-24;Domingo;Shavuot;Jewish holiday;
2015-05-25;Segunda-feira;Whit Monday;Christian;
2015-05-25;Segunda-feira;African Liberation Day;Worldwide observance de 2015;
2015-05-25;Segunda-feira;Memorial Day;Federal Holiday de 2015;
2015-05-25;Segunda-feira;National Missing Children's Day;Observance;
2015-05-29;Sexta-feira;International Day of United Nations Peacekeepers;United Nations observance;
2015-05-31;Domingo;Trinity Sunday;Christian;
2015-05-31;Domingo;World No Tobacco Day;United Nations observance;
2015-06-01;Segunda-feira;Global Day of Parents;United Nations observance;
2015-06-01;Segunda-feira;Day of Vesak;United Nations observance;
2015-06-01;Segunda-feira;First Day of Pride Month de 2015;Annual Monthly Observance;
2015-06-01;Segunda-feira;First Day of Caribbean-American Heritage Month;Annual Monthly Observance;
2015-06-04;Quinta-feira;Corpus Christi;Christian;
2015-06-04;Quinta-feira;International Day of Innocent Children Victims of Aggression;United Nations observance;
2015-06-05;Sexta-feira;World Environment Day;United Nations observance;
2015-06-06;Sábado;Day of the Russian Language;United Nations observance;
2015-06-06;Sábado;D-Day;Observance;
2015-06-06;Sábado;Belmont Stakes;Sporting event;
2015-06-08;Segunda-feira;World Oceans Day;United Nations observance;
2015-06-12;Sexta-feira;World Day Against Child Labour;United Nations observance;
2015-06-12;Sexta-feira;Loving Day;Observance;
2015-06-13;Sábado;International Albinism Awareness Day;United Nations observance;
2015-06-14;Domingo;World Blood Donor Day;United Nations observance;
2015-06-14;Domingo;Army Birthday;Observance;
2015-06-14;Domingo;Flag Day;Observance;
2015-06-15;Segunda-feira;World Elder Abuse Awareness Day de 2015;United Nations observance;
2015-06-16;Terça-feira;International Day of Family Remittances;United Nations observance;
2015-06-17;Quarta-feira;World Day to Combat Desertification and Drought;United Nations observance;
2015-06-18;Quinta-feira;Ramadan Starts;Muslim;
2015-06-19;Sexta-feira;International Day for the Elimination of Sexual Violence in Conflict;United Nations observance;
2015-06-19;Sexta-feira;Juneteenth;Observance;
2015-06-20;Sábado;World Refugee Day;United Nations observance;
2015-06-20;Sábado;American Eagle Day;Observance;
2015-06-21;Domingo;International Day of Yoga;United Nations observance;
2015-06-21;Domingo;Father's Day;Observance;
2015-06-21;Domingo;June Solstice;Season;
2015-06-23;Terça-feira;Public Service Day;United Nations observance;
2015-06-23;Terça-feira;International Widows' Day;United Nations observance;
2015-06-25;Quinta-feira;Day of the Seafarer;United Nations observance;
2015-06-26;Sexta-feira;International Day Against Drug Abuse and Illicit Trafficking;United Nations observance;
2015-06-26;Sexta-feira;International Day in Support of Victims of Torture;United Nations observance;
2015-07-03;Sexta-feira;Independence Day (substitute) de 2015;Federal Holiday de 2015;
2015-07-04;Sábado;International Day of Cooperatives;United Nations observance;
2015-07-04;Sábado;Independence Day de 2015;Federal Holiday de 2015;
2015-07-11;Sábado;World Population Day;United Nations observance;
2015-07-13;Segunda-feira;Lailat al-Qadr;Muslim;
2015-07-14;Terça-feira;Bastille Day;Observance;
2015-07-15;Quarta-feira;World Youth Skills Day;United Nations observance;
2015-07-18;Sábado;Nelson Mandela Day de 2015;United Nations observance;
2015-07-26;Domingo;Tisha B'Av;Jewish holiday;
2015-07-26;Domingo;Parents' Day;Observance;
2015-07-27;Segunda-feira;National Korean War Veterans Armistice Day;Observance;
2015-07-28;Terça-feira;World Hepatitis Day;United Nations observance;
2015-07-30;Quinta-feira;International Day of Friendship;United Nations observance;
2015-07-30;Quinta-feira;World Day against Trafficking in Persons;United Nations observance;
2015-08-04;Terça-feira;Coast Guard Birthday;Observance;
2015-08-07;Sexta-feira;Purple Heart Day;Observance;
2015-08-09;Domingo;International Day of the World's Indigenous People;United Nations observance;
2015-08-12;Quarta-feira;International Youth Day;United Nations observance;
2015-08-15;Sábado;Assumption of Mary;Christian;
2015-08-16;Domingo;National Senior Citizens Day;Observance;
2015-08-19;Quarta-feira;World Humanitarian Day;United Nations observance;
2015-08-19;Quarta-feira;National Aviation Day;Observance;
2015-08-23;Domingo;International Day for the Remembrance of the Slave Trade and its Abolition de 2015;United Nations observance;
2015-08-26;Quarta-feira;Women's Equality Day;Observance;
2015-08-29;Sábado;Raksha Bandhan;Hindu Holiday;
2015-08-29;Sábado;International Day against Nuclear Tests;United Nations observance;
2015-08-30;Domingo;International Day of the Victims of Enforced Disappearances;United Nations observance;
2015-08-31;Segunda-feira;International Overdose Awareness Day;Worldwide observance de 2015;
2015-09-04;Sexta-feira;Janmashtami;Hindu Holiday;
2015-09-04;Sexta-feira;World Sexual Health Day;Worldwide observance de 2015;
2015-09-05;Sábado;International Day of Charity;United Nations observance;
2015-09-07;Segunda-feira;Labor Day;Federal Holiday de 2015;
2015-09-08;Terça-feira;International Literacy Day;United Nations observance;
2015-09-10;Quinta-feira;World Suicide Prevention Day de 2015;Worldwide observance de 2015;
2015-09-11;Sexta-feira;Patriot Day;Observance;
2015-09-12;Sábado;International Day for South-South Cooperation;United Nations observance;
2015-09-12;Sábado;Carl Garner Federal Lands Cleanup Day de 2015;Observance;
2015-09-13;Domingo;International Programmers' Day;Worldwide observance de 2015;
2015-09-13;Domingo;National Grandparents Day;Observance;
2015-09-14;Segunda-feira;Rosh Hashana;Jewish holiday;
2015-09-15;Terça-feira;International Day of Democracy;United Nations observance;
2015-09-15;Terça-feira;First Day of National Hispanic Heritage Month;Annual Monthly Observance;
2015-09-16;Quarta-feira;Ganesh Chaturthi;Hindu Holiday;
2015-09-16;Quarta-feira;International Day for the Preservation of the Ozone Layer;United Nations observance;
2015-09-17;Quinta-feira;Constitution Day and Citizenship Day;Observance;
2015-09-18;Sexta-feira;Air Force Birthday;Observance;
2015-09-18;Sexta-feira;National POW/MIA Recognition Day;Observance;
2015-09-21;Segunda-feira;International Day of Peace;United Nations observance;
2015-09-23;Quarta-feira;Yom Kippur;Jewish holiday;
2015-09-23;Quarta-feira;International Celebrate Bisexuality Day;Worldwide observance de 2015;
2015-09-23;Quarta-feira;September Equinox;Season;
2015-09-24;Quinta-feira;Eid al-Adha;Muslim;
2015-09-24;Quinta-feira;World Maritime Day;United Nations observance;
2015-09-26;Sábado;International Day for the Total Elimination of Nuclear Weapons;United Nations observance;
2015-09-26;Sábado;National Public Lands Day;Observance;
2015-09-27;Domingo;World Tourism Day;United Nations observance;
2015-09-27;Domingo;Gold Star Mother's Day;Observance;
2015-09-28;Segunda-feira;First Day of Sukkot;Jewish holiday;
2015-09-28;Segunda-feira;World Rabies Day;Worldwide observance de 2015;
2015-09-29;Terça-feira;World Heart Day;Worldwide observance de 2015;
2015-10-01;Quinta-feira;International Day of Older Persons de 2015;United Nations observance;
2015-10-01;Quinta-feira;World Vegetarian Day;Worldwide observance de 2015;
2015-10-02;Sexta-feira;International Day of Non-Violence;United Nations observance;
2015-10-04;Domingo;Feast of St Francis of Assisi;Christian;
2015-10-04;Domingo;Last Day of Sukkot;Jewish holiday;
2015-10-05;Segunda-feira;Shmini Atzeret;Jewish holiday;
2015-10-05;Segunda-feira;World Teachers' Day;United Nations observance;
2015-10-05;Segunda-feira;World Habitat Day;United Nations observance;
2015-10-05;Segunda-feira;Child Health Day;Observance;
2015-10-06;Terça-feira;Simchat Torah;Jewish holiday;
2015-10-06;Terça-feira;German American Day;Observance;
2015-10-07;Quarta-feira;World Cerebral Palsy Day;Worldwide observance de 2015;
2015-10-08;Quinta-feira;World Sight Day;Worldwide observance de 2015;
2015-10-09;Sexta-feira;World Post Day;United Nations observance;
2015-10-09;Sexta-feira;Leif Erikson Day;Observance;
2015-10-10;Sábado;World Mental Health Day;United Nations observance;
2015-10-11;Domingo;International Day of the Girl Child;United Nations observance;
2015-10-11;Domingo;Chicago Marathon;Sporting event;
2015-10-12;Segunda-feira;World Spanish Language Day;United Nations observance;
2015-10-12;Segunda-feira;Columbus Day;Federal Holiday de 2015;
2015-10-13;Terça-feira;Navratri;Hindu Holiday;
2015-10-13;Terça-feira;Navy Birthday;Observance;
2015-10-14;Quarta-feira;International Day for Natural Disaster Reduction;United Nations observance;
2015-10-15;Quinta-feira;Muharram;Muslim;
2015-10-15;Quinta-feira;International Day of Rural Women;United Nations observance;
2015-10-15;Quinta-feira;White Cane Safety Day;Observance;
2015-10-16;Sexta-feira;World Food Day;United Nations observance;
2015-10-16;Sexta-feira;Boss's Day;Observance;
2015-10-17;Sábado;International Day for the Eradication of Poverty;United Nations observance;
2015-10-20;Terça-feira;World Statistics Day;United Nations observance;
2015-10-22;Quinta-feira;Dussehra;Hindu Holiday;
2015-10-24;Sábado;Ashura;Muslim;
2015-10-24;Sábado;United Nations Day;United Nations observance;
2015-10-24;Sábado;World Development Information Day;United Nations observance;
2015-10-27;Terça-feira;World Day for Audiovisual Heritage;United Nations observance;
2015-10-29;Quinta-feira;World Stroke Day;Worldwide observance de 2015;
2015-10-31;Sábado;World Cities Day;United Nations observance;
2015-10-31;Sábado;Halloween;Observance;
2015-11-01;Domingo;All Saints' Day;Christian;
2015-11-01;Domingo;World Vegan Day;Worldwide observance de 2015;
2015-11-01;Domingo;First Day of Native American Heritage Month;Annual Monthly Observance;
2015-11-01;Domingo;New York City Marathon;Sporting event;
2015-11-01;Domingo;Daylight Saving Time ends;Clock change/Daylight Saving Time;
2015-11-02;Segunda-feira;All Souls' Day;Christian;
2015-11-02;Segunda-feira;International Day to End Impunity for Crimes against Journalists;United Nations observance;
2015-11-03;Terça-feira;Election Day;Observance;
2015-11-06;Sexta-feira;International Day for Preventing the Exploitation of the Environment in War and Armed Conflict;United Nations observance;
2015-11-10;Terça-feira;Diwali/Deepavali;Hindu Holiday;
2015-11-10;Terça-feira;World Science Day for Peace and Development;United Nations observance;
2015-11-10;Terça-feira;Marine Corps Birthday;Observance;
2015-11-11;Quarta-feira;Veterans Day;Federal Holiday de 2015;
2015-11-12;Quinta-feira;World Pneumonia Day;Worldwide observance de 2015;
2015-11-13;Sexta-feira;Friday the 13th;Worldwide observance de 2015;
2015-11-14;Sábado;World Diabetes Day;United Nations observance;
2015-11-15;Domingo;World Day of Remembrance for Road Traffic Victims;United Nations observance;
2015-11-16;Segunda-feira;International Day for Tolerance;United Nations observance;
2015-11-17;Terça-feira;World Prematurity Day;Worldwide observance de 2015;
2015-11-19;Quinta-feira;World Philosophy Day;United Nations observance;
2015-11-19;Quinta-feira;World Toilet Day;United Nations observance;
2015-11-19;Quinta-feira;International Men's Day;Worldwide observance de 2015;
2015-11-20;Sexta-feira;Universal Children's Day;United Nations observance;
2015-11-20;Sexta-feira;Africa Industrialization Day;United Nations observance;
2015-11-21;Sábado;World Television Day;United Nations observance;
2015-11-25;Quarta-feira;International Day for the Elimination of Violence against Women;United Nations observance;
2015-11-26;Quinta-feira;Thanksgiving Day;Federal Holiday de 2015;
2015-11-27;Sexta-feira;Black Friday;Observance;
2015-11-27;Sexta-feira;Native American Heritage Day;Observance;
2015-11-29;Domingo;First Sunday of Advent;Christian;
2015-11-29;Domingo;International Day of Solidarity with the Palestinian People;United Nations observance;
2015-11-30;Segunda-feira;Cyber Monday;Observance;
2015-12-01;Terça-feira;World AIDS Day;United Nations observance;
2015-12-01;Terça-feira;Giving Tuesday;Observance;
2015-12-02;Quarta-feira;International Day for the Abolition of Slavery;United Nations observance;
2015-12-03;Quinta-feira;International Day of Persons with Disabilities;United Nations observance;
2015-12-05;Sábado;International Volunteer Day for Economic and Social Development;United Nations observance;
2015-12-05;Sábado;World Soil Day;United Nations observance;
2015-12-06;Domingo;St Nicholas Day;Observance;
2015-12-07;Segunda-feira;Chanukah/Hanukkah (first day);Jewish holiday;
2015-12-07;Segunda-feira;International Civil Aviation Day;United Nations observance;
2015-12-07;Segunda-feira;Pearl Harbor Remembrance Day;Observance;
2015-12-08;Terça-feira;Feast of the Immaculate Conception;Christian;
2015-12-09;Quarta-feira;International Anti-Corruption Day;United Nations observance;
2015-12-09;Quarta-feira;World Genocide Commemoration Day de 2015;United Nations observance;
2015-12-10;Quinta-feira;Human Rights Day;United Nations observance;
2015-12-11;Sexta-feira;International Mountain Day;United Nations observance;
2015-12-12;Sábado;Feast of Our Lady of Guadalupe;Christian;
2015-12-13;Domingo;National Guard Birthday;Observance;
2015-12-14;Segunda-feira;Last Day of Chanukah;Jewish holiday;
2015-12-15;Terça-feira;Bill of Rights Day;Observance;
2015-12-17;Quinta-feira;Pan American Aviation Day;Observance;
2015-12-17;Quinta-feira;Wright Brothers Day;Observance;
2015-12-18;Sexta-feira;International Migrants Day;United Nations observance;
2015-12-18;Sexta-feira;Arabic Language Day;United Nations observance;
2015-12-20;Domingo;International Human Solidarity Day;United Nations observance;
2015-12-21;Segunda-feira;December Solstice;Season;
2015-12-22;Terça-feira;Asarah B'Tevet;Jewish holiday;
2015-12-24;Quinta-feira;The Prophet's Birthday;Muslim;
2015-12-24;Quinta-feira;Christmas Eve;Observance, Christian;
2015-12-25;Sexta-feira;Christmas Day;Federal Holiday de 2015;
2015-12-26;Sábado;Kwanzaa (first day);Observance;
2015-12-26;Sábado;Day After Christmas Day;Observance;
2015-12-31;Quinta-feira;New Year's Eve;Observance;
2016-01-01;Sexta-feira;New Year's Day;Federal Holiday de 2016;
2016-01-04;Segunda-feira;World Braille Day;Worldwide observance de 2016;
2016-01-06;Quarta-feira;Epiphany;Christian;
2016-01-07;Quinta-feira;Orthodox Christmas Day;Orthodox;
2016-01-07;Quinta-feira;International Programmers' Day;Worldwide observance de 2016;
2016-01-13;Quarta-feira;Stephen Foster Memorial Day;Observance;
2016-01-14;Quinta-feira;Orthodox New Year;Orthodox;
2016-01-17;Domingo;World Religion Day;Worldwide observance de 2016;
2016-01-18;Segunda-feira;Martin Luther King Jr. Day;Federal Holiday de 2016;
2016-01-25;Segunda-feira;Tu Bishvat/Tu B'Shevat;Jewish holiday;
2016-01-26;Terça-feira;International Customs Day;Worldwide observance de 2016;
2016-01-27;Quarta-feira;International Day of Commemoration in Memory of the Victims of the Holocaust;United Nations observance;
2016-01-31;Domingo;World Leprosy Day;Worldwide observance de 2016;
2016-02-01;Segunda-feira;National Freedom Day;Observance;
2016-02-01;Segunda-feira;First Day of Black History Month;Annual Monthly Observance;
2016-02-02;Terça-feira;World Wetlands Day;Worldwide observance de 2016;
2016-02-02;Terça-feira;Groundhog Day;Observance;
2016-02-03;Quarta-feira;National Girls and Women in Sports Day;Observance;
2016-02-04;Quinta-feira;World Cancer Day;Worldwide observance de 2016;
2016-02-05;Sexta-feira;National Wear Red Day;Observance;
2016-02-06;Sábado;International Day of Zero Tolerance for Female Genital Mutilation;United Nations observance;
2016-02-07;Domingo;Super Bowl;Sporting event;
2016-02-08;Segunda-feira;Lunar New Year;Observance;
2016-02-09;Terça-feira;Shrove Tuesday/Mardi Gras;Observance, Christian;
2016-02-10;Quarta-feira;Ash Wednesday;Christian;
2016-02-11;Quinta-feira;International Day of Women and Girls in Science;United Nations observance;
2016-02-11;Quinta-feira;World Day of the Sick;Worldwide observance de 2016;
2016-02-13;Sábado;World Radio Day;United Nations observance;
2016-02-14;Domingo;Valentine's Day;Observance;
2016-02-15;Segunda-feira;Presidents' Day de 2016;Federal Holiday de 2016;
2016-02-20;Sábado;World Day of Social Justice;United Nations observance;
2016-02-21;Domingo;International Mother Language Day;United Nations observance;
2016-02-29;Segunda-feira;Leap Day;Worldwide observance de 2016;
2016-03-01;Terça-feira;Zero Discrimination Day;United Nations observance;
2016-03-01;Terça-feira;Self-Injury Awareness Day;Worldwide observance de 2016;
2016-03-01;Terça-feira;St. David's Day;Observance, Christian;
2016-03-01;Terça-feira;First Day of Women's History Month;Annual Monthly Observance;
2016-03-01;Terça-feira;First Day of Irish American Heritage Month;Annual Monthly Observance;
2016-03-02;Quarta-feira;Read Across America Day;Observance;
2016-03-03;Quinta-feira;World Wildlife Day;United Nations observance;
2016-03-04;Sexta-feira;Employee Appreciation Day;Observance;
2016-03-07;Segunda-feira;Maha Shivaratri;Hindu Holiday;
2016-03-08;Terça-feira;International Women's Day;United Nations observance;
2016-03-10;Quinta-feira;World Kidney Day;Worldwide observance de 2016;
2016-03-13;Domingo;Daylight Saving Time starts;Clock change/Daylight Saving Time;
2016-03-17;Quinta-feira;St. Patrick's Day;Observance, Christian;
2016-03-19;Sábado;Earth Hour;Worldwide observance de 2016;
2016-03-20;Domingo;Palm Sunday;Christian;
2016-03-20;Domingo;French Language Day;United Nations observance;
2016-03-20;Domingo;International Day of Happiness;United Nations observance;
2016-03-20;Domingo;March Equinox;Season;
2016-03-21;Segunda-feira;International Day for the Elimination of Racial Discrimination;United Nations observance;
2016-03-21;Segunda-feira;World Poetry Day;United Nations observance;
2016-03-21;Segunda-feira;International Day of Nowruz;United Nations observance;
2016-03-21;Segunda-feira;World Down Syndrome Day;United Nations observance;
2016-03-21;Segunda-feira;International Day of Forests;United Nations observance;
2016-03-22;Terça-feira;World Water Day;United Nations observance;
2016-03-23;Quarta-feira;Holi;Hindu Holiday;
2016-03-23;Quarta-feira;World Meteorological Day;United Nations observance;
2016-03-24;Quinta-feira;Maundy Thursday;Christian;
2016-03-24;Quinta-feira;Purim;Jewish holiday;
2016-03-24;Quinta-feira;World Tuberculosis Day;United Nations observance;
2016-03-24;Quinta-feira;International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims;United Nations observance;
2016-03-25;Sexta-feira;International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade de 2016;United Nations observance;
2016-03-25;Sexta-feira;International Day of Solidarity with Detained and Missing Staff Members;United Nations observance;
2016-03-26;Sábado;Holy Saturday;Christian;
2016-03-27;Domingo;Easter Sunday;Observance, Christian;
2016-03-28;Segunda-feira;Easter Monday;Observance, Christian;
2016-03-30;Quarta-feira;Doctors' Day;Observance;
2016-04-01;Sexta-feira;April Fool's Day;Worldwide observance de 2016;
2016-04-02;Sábado;World Autism Awareness Day;United Nations observance;
2016-04-04;Segunda-feira;United Nations' Mine Awareness Day;United Nations observance;
2016-04-06;Quarta-feira;International Day of Sport for Development and Peace;United Nations observance;
2016-04-06;Quarta-feira;National Tartan Day;Observance;
2016-04-07;Quinta-feira;United Nations' World Health Day;United Nations observance;
2016-04-07;Quinta-feira;Day of Remembrance of the Victims of the Rwanda Genocide de 2016;United Nations observance;
2016-04-12;Terça-feira;International Day of Human Space Flight;United Nations observance;
2016-04-12;Terça-feira;National Library Workers' Day;Observance;
2016-04-13;Quarta-feira;Thomas Jefferson's Birthday;Observance;
2016-04-15;Sexta-feira;Global Youth Service Day;Worldwide observance de 2016;
2016-04-18;Segunda-feira;International Day for Monuments and Sites;Worldwide observance de 2016;
2016-04-18;Segunda-feira;Tax Day;Observance;
2016-04-18;Segunda-feira;Boston Marathon;Sporting event;
2016-04-20;Quarta-feira;Chinese Language Day;United Nations observance;
2016-04-22;Sexta-feira;Passover Eve;Jewish holiday;
2016-04-22;Sexta-feira;Earth Day;United Nations observance;
2016-04-23;Sábado;Passover (first day);Jewish holiday;
2016-04-23;Sábado;World Book and Copyright Day;United Nations observance;
2016-04-23;Sábado;English Language Day;United Nations observance;
2016-04-25;Segunda-feira;World Malaria Day;United Nations observance;
2016-04-26;Terça-feira;World Intellectual Property Day;United Nations observance;
2016-04-26;Terça-feira;International Chernobyl Disaster Remembrance Day;United Nations observance;
2016-04-27;Quarta-feira;Administrative Professionals Day;Observance;
2016-04-28;Quinta-feira;International Girls in ICT Day;United Nations observance;
2016-04-28;Quinta-feira;World Day for Safety and Health at Work;United Nations observance;
2016-04-28;Quinta-feira;Take our Daughters and Sons to Work Day;Observance;
2016-04-29;Sexta-feira;Orthodox Good Friday;Orthodox;
2016-04-30;Sábado;Last Day of Passover;Jewish holiday;
2016-04-30;Sábado;Orthodox Holy Saturday;Orthodox;
2016-04-30;Sábado;International Jazz Day;United Nations observance;
2016-05-01;Domingo;Orthodox Easter;Orthodox;
2016-05-01;Domingo;International Family Equality Day;Worldwide observance de 2016;
2016-05-01;Domingo;Law Day;Observance;
2016-05-01;Domingo;Loyalty Day;Observance;
2016-05-01;Domingo;First Day of Military Appreciation Month;Annual Monthly Observance;
2016-05-01;Domingo;First Day of Asian Pacific American Heritage Month;Annual Monthly Observance;
2016-05-01;Domingo;First Day of Jewish American Heritage Month;Annual Monthly Observance;
2016-05-02;Segunda-feira;Orthodox Easter Monday;Orthodox;
2016-05-03;Terça-feira;World Press Freedom Day;United Nations observance;
2016-05-03;Terça-feira;National Teacher Appreciation Day;Observance;
2016-05-04;Quarta-feira;Yom HaShoah;Jewish commemoration;
2016-05-05;Quinta-feira;Ascension Day;Christian;
2016-05-05;Quinta-feira;Isra and Mi'raj;Muslim;
2016-05-05;Quinta-feira;Cinco de Mayo de 2016;Observance;
2016-05-05;Quinta-feira;National Day of Prayer;Observance;
2016-05-06;Sexta-feira;Kentucky Oaks;Sporting event;
2016-05-06;Sexta-feira;National Nurses Day;Observance;
2016-05-06;Sexta-feira;Military Spouse Appreciation Day;Observance;
2016-05-07;Sábado;Kentucky Derby;Sporting event;
2016-05-07;Sábado;National Explosive Ordnance Disposal (EOD) Day;Observance;
2016-05-08;Domingo;Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War;United Nations observance;
2016-05-08;Domingo;World Ovarian Cancer Day;Worldwide observance de 2016;
2016-05-08;Domingo;World Red Cross and Red Crescent Day;Worldwide observance de 2016;
2016-05-08;Domingo;Mother's Day;Observance;
2016-05-08;Domingo;Victory in Europe Day;Observance;
2016-05-12;Quinta-feira;Yom Ha'atzmaut;Jewish holiday;
2016-05-12;Quinta-feira;International Nurses Day;Worldwide observance de 2016;
2016-05-13;Sexta-feira;Friday the 13th;Worldwide observance de 2016;
2016-05-14;Sábado;World Migratory Bird Day;United Nations observance;
2016-05-15;Domingo;Pentecost;Christian;
2016-05-15;Domingo;International Day of Families;United Nations observance;
2016-05-15;Domingo;Peace Officers Memorial Day;Observance;
2016-05-16;Segunda-feira;Whit Monday;Christian;
2016-05-17;Terça-feira;World Information Society Day;United Nations observance;
2016-05-20;Sexta-feira;Day of Vesak;United Nations observance;
2016-05-20;Sexta-feira;World Autoimmune Arthritis Day;Worldwide observance de 2016;
2016-05-20;Sexta-feira;National Defense Transportation Day;Observance;
2016-05-21;Sábado;World Day for Cultural Diversity for Dialogue and Development;United Nations observance;
2016-05-21;Sábado;Armed Forces Day;Observance;
2016-05-21;Sábado;Preakness Stakes;Sporting event;
2016-05-22;Domingo;Trinity Sunday;Christian;
2016-05-22;Domingo;International Day for Biological Diversity;United Nations observance;
2016-05-22;Domingo;National Maritime Day;Observance;
2016-05-23;Segunda-feira;International Day to End Obstetric Fistula;United Nations observance;
2016-05-25;Quarta-feira;African Liberation Day;Worldwide observance de 2016;
2016-05-25;Quarta-feira;Emergency Medical Services for Children Day;Observance;
2016-05-25;Quarta-feira;National Missing Children's Day;Observance;
2016-05-26;Quinta-feira;Corpus Christi;Christian;
2016-05-26;Quinta-feira;Lag BaOmer;Jewish holiday;
2016-05-29;Domingo;International Day of United Nations Peacekeepers;United Nations observance;
2016-05-30;Segunda-feira;Memorial Day;Federal Holiday de 2016;
2016-05-31;Terça-feira;World No Tobacco Day;United Nations observance;
2016-06-01;Quarta-feira;Global Day of Parents;United Nations observance;
2016-06-01;Quarta-feira;First Day of Pride Month de 2016;Annual Monthly Observance;
2016-06-01;Quarta-feira;First Day of Caribbean-American Heritage Month;Annual Monthly Observance;
2016-06-04;Sábado;International Day of Innocent Children Victims of Aggression;United Nations observance;
2016-06-05;Domingo;World Environment Day;United Nations observance;
2016-06-06;Segunda-feira;Day of the Russian Language;United Nations observance;
2016-06-06;Segunda-feira;D-Day;Observance;
2016-06-07;Terça-feira;Ramadan Starts;Muslim;
2016-06-08;Quarta-feira;World Oceans Day;United Nations observance;
2016-06-11;Sábado;Belmont Stakes;Sporting event;
