DATA;DIA_DA_SEMANA;FERIADO;TIPO_FERIADO;DETALHES
2014-04-24;Quinta-feira;Take our Daughters and Sons to Work Day;Observance;
2014-04-25;Sexta-feira;World Malaria Day;United Nations observance;
2014-04-26;Sábado;World Intellectual Property Day;United Nations observance;
2014-04-28;Segunda-feira;Yom HaShoah;Jewish commemoration;
2014-04-28;Segunda-feira;World Day for Safety and Health at Work;United Nations observance;
2014-04-29;Terça-feira;Day of Remembrance for all Victims of Chemical Warfare;United Nations observance;
2014-04-30;Quarta-feira;International Jazz Day;United Nations observance;
2014-05-01;Quinta-feira;Law Day;Observance;
2014-05-01;Quinta-feira;Loyalty Day;Observance;
2014-05-01;Quinta-feira;National Day of Prayer;Observance;
2014-05-01;Quinta-feira;First Day of Military Appreciation Month;Annual Monthly Observance;
2014-05-01;Quinta-feira;First Day of Asian Pacific American Heritage Month;Annual Monthly Observance;
2014-05-01;Quinta-feira;First Day of Jewish American Heritage Month;Annual Monthly Observance;
2014-05-02;Sexta-feira;Kentucky Oaks;Sporting event;
2014-05-03;Sábado;World Press Freedom Day;United Nations observance;
2014-05-03;Sábado;Kentucky Derby;Sporting event;
2014-05-03;Sábado;National Explosive Ordnance Disposal (EOD) Day;Observance;
2014-05-04;Domingo;International Family Equality Day;Worldwide observance de 2014;
2014-05-05;Segunda-feira;Cinco de Mayo de 2014;Observance;
2014-05-06;Terça-feira;Yom Ha'atzmaut;Jewish holiday;
2014-05-06;Terça-feira;National Nurses Day;Observance;
2014-05-06;Terça-feira;National Teacher Appreciation Day;Observance;
2014-05-08;Quinta-feira;Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War;United Nations observance;
2014-05-08;Quinta-feira;World Ovarian Cancer Day;Worldwide observance de 2014;
2014-05-08;Quinta-feira;World Red Cross and Red Crescent Day;Worldwide observance de 2014;
2014-05-08;Quinta-feira;Victory in Europe Day;Observance;
2014-05-09;Sexta-feira;Military Spouse Appreciation Day;Observance;
2014-05-10;Sábado;World Migratory Bird Day;United Nations observance;
2014-05-11;Domingo;Mother's Day;Observance;
2014-05-12;Segunda-feira;International Nurses Day;Worldwide observance de 2014;
2014-05-13;Terça-feira;Day of Vesak;United Nations observance;
2014-05-15;Quinta-feira;International Day of Families;United Nations observance;
2014-05-15;Quinta-feira;Peace Officers Memorial Day;Observance;
2014-05-16;Sexta-feira;National Defense Transportation Day;Observance;
2014-05-17;Sábado;World Information Society Day;United Nations observance;
2014-05-17;Sábado;Armed Forces Day;Observance;
2014-05-17;Sábado;Preakness Stakes;Sporting event;
2014-05-18;Domingo;Lag BaOmer;Jewish holiday;
2014-05-20;Terça-feira;World Autoimmune Arthritis Day;Worldwide observance de 2014;
2014-05-21;Quarta-feira;World Day for Cultural Diversity for Dialogue and Development;United Nations observance;
2014-05-21;Quarta-feira;Emergency Medical Services for Children Day;Observance;
2014-05-22;Quinta-feira;International Day for Biological Diversity;United Nations observance;
2014-05-22;Quinta-feira;National Maritime Day;Observance;
2014-05-23;Sexta-feira;International Day to End Obstetric Fistula;United Nations observance;
2014-05-25;Domingo;African Liberation Day;Worldwide observance de 2014;
2014-05-25;Domingo;National Missing Children's Day;Observance;
2014-05-26;Segunda-feira;Memorial Day;Federal Holiday de 2014;
2014-05-27;Terça-feira;Isra and Mi'raj;Muslim;
2014-05-29;Quinta-feira;Ascension Day;Christian;
2014-05-29;Quinta-feira;International Day of United Nations Peacekeepers;United Nations observance;
2014-05-31;Sábado;World No Tobacco Day;United Nations observance;
2014-06-01;Domingo;Global Day of Parents;United Nations observance;
2014-06-01;Domingo;First Day of Pride Month de 2014;Annual Monthly Observance;
2014-06-01;Domingo;First Day of Caribbean-American Heritage Month;Annual Monthly Observance;
2014-06-04;Quarta-feira;Shavuot;Jewish holiday;
2014-06-04;Quarta-feira;International Day of Innocent Children Victims of Aggression;United Nations observance;
2014-06-05;Quinta-feira;World Environment Day;United Nations observance;
2014-06-06;Sexta-feira;Day of the Russian Language;United Nations observance;
2014-06-06;Sexta-feira;D-Day;Observance;
2014-06-07;Sábado;Belmont Stakes;Sporting event;
2014-06-08;Domingo;Pentecost;Christian;
2014-06-08;Domingo;World Oceans Day;United Nations observance;
2014-06-09;Segunda-feira;Whit Monday;Christian;
2014-06-12;Quinta-feira;World Day Against Child Labour;United Nations observance;
2014-06-12;Quinta-feira;Loving Day;Observance;
2014-06-13;Sexta-feira;Friday the 13th;Worldwide observance de 2014;
2014-06-14;Sábado;World Blood Donor Day;United Nations observance;
2014-06-14;Sábado;Army Birthday;Observance;
2014-06-14;Sábado;Flag Day;Observance;
2014-06-15;Domingo;Trinity Sunday;Christian;
2014-06-15;Domingo;World Elder Abuse Awareness Day de 2014;United Nations observance;
2014-06-15;Domingo;Father's Day;Observance;
2014-06-17;Terça-feira;World Day to Combat Desertification and Drought;United Nations observance;
2014-06-19;Quinta-feira;Corpus Christi;Christian;
2014-06-19;Quinta-feira;Juneteenth;Observance;
2014-06-20;Sexta-feira;World Refugee Day;United Nations observance;
2014-06-20;Sexta-feira;American Eagle Day;Observance;
2014-06-21;Sábado;International Day of Yoga;United Nations observance;
2014-06-21;Sábado;June Solstice;Season;
2014-06-23;Segunda-feira;Public Service Day;United Nations observance;
2014-06-23;Segunda-feira;International Widows' Day;United Nations observance;
2014-06-25;Quarta-feira;Day of the Seafarer;United Nations observance;
2014-06-26;Quinta-feira;International Day Against Drug Abuse and Illicit Trafficking;United Nations observance;
2014-06-26;Quinta-feira;International Day in Support of Victims of Torture;United Nations observance;
2014-06-29;Domingo;Ramadan Starts;Muslim;
2014-07-04;Sexta-feira;Independence Day de 2014;Federal Holiday de 2014;
2014-07-05;Sábado;International Day of Cooperatives;United Nations observance;
2014-07-11;Sexta-feira;World Population Day;United Nations observance;
2014-07-14;Segunda-feira;Bastille Day;Observance;
2014-07-18;Sexta-feira;Nelson Mandela Day de 2014;United Nations observance;
2014-07-24;Quinta-feira;Lailat al-Qadr;Muslim;
2014-07-27;Domingo;Parents' Day;Observance;
2014-07-27;Domingo;National Korean War Veterans Armistice Day;Observance;
2014-07-28;Segunda-feira;World Hepatitis Day;United Nations observance;
2014-07-30;Quarta-feira;International Day of Friendship;United Nations observance;
2014-07-30;Quarta-feira;World Day against Trafficking in Persons;United Nations observance;
2014-08-04;Segunda-feira;Coast Guard Birthday;Observance;
2014-08-05;Terça-feira;Tisha B'Av;Jewish holiday;
2014-08-07;Quinta-feira;Purple Heart Day;Observance;
